_init_proc, no_match_found
ENCOUNT_getEncountPercentFromArray, StoneAge/Source/gmsv/char/encount.c
CHAR_setPetFuncTable, no_match_found
PET_checkRideSpeed, no_match_found
PET_CountInFloor, no_match_found
PET_enableFieldPet, no_match_found
PET_getHavePetIndex, no_match_found
PET_ridePet, no_match_found
PET_stopRidePet, no_match_found
PET_checkMonsterCrystalRank, no_match_found
PET_getHavePetRide, no_match_found
PET_enableRidePet, no_match_found
PET_checkHavePetWalk, no_match_found
PET_stopFieldPet, no_match_found
PET_getFieldPetItem, no_match_found
PET_isFieldPoint, no_match_found
PET_isPutPoint, StoneAge/Source/gmsv/char/char.c
PET_MovePet, no_match_found
PET_createPetFromCharaIndex, StoneAge/Source/gmsv/battle/battle_event.c
PET_dropPetAbsolute, StoneAge/Source/gmsv/char/char_data.c
PET_fieldPet, no_match_found
PET_SelectBattleEntryPet, StoneAge/Source/gmsv/callfromcli.c
_PET_dropPet, StoneAge/Source/gmsv/char/pet.c
_fts5VocabCreateMethod, no_match_found
PET_dropPet, StoneAge/Source/gmsv/callfromcli.c
PET_Watchfunc, StoneAge/Source/gmsv/function.c
DEBUG_initExtraCdkey, no_match_found
DEBUG_checkExtraCdkey, no_match_found
DEBUG_checkDebugcdkey, no_match_found
DEBUG_setExtraCDKey, no_match_found
DEBUG_initDebugcdkey, no_match_found
TITLE_getTitleIndex, StoneAge/Source/gmsv/char/char.c
TITLE_getName, no_match_found
TITLE_makeSkillFalseString, StoneAge/Source/gmsv/char/title.c
TITLE_initTitleData, StoneAge/Source/gmsv/char/title.c
TITLE_IntCheck, StoneAge/Source/gmsv/char/title.c
TITLE_EndFlgCheck, no_match_found
TITLE_SkillCheck, StoneAge/Source/gmsv/char/title.c
TITLE_ItemCheckMain, StoneAge/Source/gmsv/char/title.c
TITLE_ItemEquipCheck, StoneAge/Source/gmsv/char/title.c
TITLE_ItemCheck, StoneAge/Source/gmsv/char/title.c
TITLE_getParamData, StoneAge/Source/gmsv/char/title.c
TITLE_getConfigOneLine, StoneAge/Source/gmsv/char/title.c
TITLE_initTitleConfig, StoneAge/Source/gmsv/init.c
TITLE_initTitleName, StoneAge/Source/gmsv/init.c
TITLE_reinitTitleName, StoneAge/Source/gmsv/char/title.c
TITLE_deltitle, StoneAge/Source/gmsv/char/title.c
TITLE_addtitle, StoneAge/Source/gmsv/char/title.c
TITLE_TitleCheck_Main, StoneAge/Source/gmsv/char/title.c
TITLE_TitleCheck_Nomsg, StoneAge/Source/gmsv/char/title.c
TITLE_BattleTitleCheck, no_match_found
TITLE_TitleCheck, StoneAge/Source/gmsv/char/title.c
TITLE_makeTitleStatusString, StoneAge/Source/gmsv/char/char.c
ADDRESSBOOK_checkHashTbl, no_match_found
ADDRESSBOOK_countHashTbl, no_match_found
CHAR_setCharHashTbl, no_match_found
ADDRESSBOOK_searchHashTbl, no_match_found
CHAR_searchCharFromCdKey, no_match_found
ADDRESSBOOK_send_DpDBUpdate, no_match_found
ADDRESSBOOK_delHashTbl, no_match_found
ADDRESSBOOK_addHashTbl, no_match_found
ADDRESSBOOK_CleanCheck, no_match_found
ADDRESSBOOK_findBlankEntry, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_getIndexInAddressbook, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_InitHashTbl, no_match_found
ADDRESSBOOK_sendSysMessage, no_match_found
ADDRESSBOOK_sendAddressbookTableOne, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_updateHashTbl, no_match_found
ADDRESSBOOK_DispatchMessage, StoneAge/Source/gmsv/callfromac.c
ADDRESSBOOK_sendHashTbl, no_match_found
ADDRESSBOOK_sendReturnString, no_match_found
ADDRESSBOOK_sendAddressbookTable, StoneAge/Source/gmsv/callfromcli.c
ADDRESSBOOK_deleteEntry, StoneAge/Source/gmsv/callfromcli.c
ADDRESSBOOK_notifyLoginLogout, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_makeEntryFromCharaindex, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_addAddressBook, StoneAge/Source/gmsv/char/addressbook.c
ADDRESSBOOK_addEntry, StoneAge/Source/gmsv/callfromcli.c
ADDRESSBOOK_systemMail, no_match_found
ADDRESSBOOK_sendMessage_FromOther, StoneAge/Source/gmsv/callfromac.c
ADDRESSBOOK_sendGroupMessageFrom, no_match_found
ADDRESSBOOK_sendGroupMessage, no_match_found
ADDRESSBOOK_sendMessage, StoneAge/Source/gmsv/callfromac.c
clearTrade, no_match_found
CHAR_Trade_checkTradeCharacter, no_match_found
CHAR_Trade_doTrade_Item, no_match_found
CHAR_Trade_doTrade_Pet, no_match_found
CHAR_Trade_closeTrade, no_match_found
CHAR_Trade_closeItem, no_match_found
CHAR_Trade_setTradeList, no_match_found
CHAR_Trade_startTrade, no_match_found
CHAR_Trade_getPlayerList, no_match_found
PETMAIL_getOffmsg, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_deleteOffmsg, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_ModeChange, no_match_found
PETMAIL_CheckDebugFlg, no_match_found
PETMAIL_CenterCheck, no_match_found
PETMAIL_getIdleTime, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_dispOffmsg, no_match_found
PETMAIL_StrayPet_Force, no_match_found
PETMAIL_StrayPet, no_match_found
PETMAIL_NotEnterFloorCheck, no_match_found
PETMAIL_returnMail, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_CheckPlayerExist, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_Loopfunc, StoneAge/Source/gmsv/function.c
PETMAIL_HourCheck, no_match_found
storePetmail, StoneAge/Source/gmsv/msignal.c
PETMAIL_proc, StoneAge/Source/gmsv/main.c
PETMAIL_addOffmsg, StoneAge/Source/gmsv/char/petmail.c
PETMAIL_initOffmsgBuffer, StoneAge/Source/gmsv/init.c
PETMAIL_sendPetMail, StoneAge/Source/gmsv/callfromcli.c
PETMAIL_IMPOSSIBLE_CHECKINDEX, no_match_found
PETMAIL_IMPOSSIBLE_getInt, no_match_found
PETMAIL_IMPOSSIBLE_setInt, no_match_found
PETMAIL_IMPOSSIBLE_getNum, no_match_found
PETMAIL_IMPOSSIBLE_getIndex, no_match_found
PETMAIL_IMPOSSIBLE_getIndexFromFloor, no_match_found
PETMAIL_MISTAKE_CHECKINDEX, no_match_found
PETMAIL_MISTAKE_getInt, no_match_found
PETMAIL_MISTAKE_setInt, no_match_found
PETMAIL_MISTAKE_getNum, no_match_found
PETMAIL_MISTAKE_getIndex, no_match_found
PETMAIL_MISTAKE_makeRandItem, no_match_found
PETMAIL_IMPOSSIBLE_init, no_match_found
PETMAIL_MISTAKE_init, no_match_found
getOnlineList, no_match_found
CHAR_getProfileListIndex, no_match_found
CHAR_delItem, no_match_found
CHAR_updateItem, no_match_found
CHAR_getProfileListCount, no_match_found
CHAR_getProfile, no_match_found
CHAR_getProfileIndex, no_match_found
searchProfileEntry, no_match_found
CHAR_sendProfileFromObjIndex, no_match_found
CHAR_sendProfile, no_match_found
CHAR_sendProfileFromGuild, no_match_found
CHAR_sendProfileFromAddress, no_match_found
CHAR_setProfileStatus, no_match_found
CHAR_setProfileData, no_match_found
CHAR_setDefaultProfile, no_match_found
CHAR_deleteProfile, no_match_found
CHAR_setProfile, no_match_found
CHAR_initProfileArray, no_match_found
CHAR_sendAboutList, no_match_found
CHAR_sendProfileList, no_match_found
CHAR_sendProfileVersion, no_match_found
CHAR_initProfileSetting, no_match_found
CHAR_initAboutSetting, no_match_found
findBlankAddressEntry, no_match_found
CheckGuildName, no_match_found
findMyAddressEntry, no_match_found
CHAR_deleteProfileAddressBook, no_match_found
deleteMyAddressEntry, no_match_found
addAddressEntry, no_match_found
sendProfileMailForAddress, no_match_found
sendProfileMail, no_match_found
CHAR_sendProfileMailForAddress, no_match_found
CHAR_sendProfileMail, no_match_found
CHARSUIT_getNum, no_match_found
CHARSUIT_CHECKINDEX, no_match_found
CHARSUIT_CHECKCHARDATAINDEX, no_match_found
CHARSUIT_CHECKINTDATAINDEX, no_match_found
CHARSUIT_getInt, no_match_found
CHARSUIT_getChar, no_match_found
CHARSUIT_setInt, no_match_found
CHARSUIT_getEquipSum, no_match_found
CHARSUIT_canEffect, no_match_found
CHAR_initSuit, no_match_found
CHAR_reinitSuit, no_match_found
CHARSUIT_checkEquipSuit, no_match_found
CHARSUIT_getTechIndexContext, no_match_found
CHARSUIT_getItemIndexContext, no_match_found
CHARSUIT_setChar, no_match_found
CHARSUIT_getOptionValue, no_match_found
BATTLE_CanMoveCheck, StoneAge/Source/gmsv/battle/battle.c
BATTLE_StatusAllClr, no_match_found
BATTLE_SkillUseCheck, no_match_found
EsCmp, StoneAge/Source/gmsv/battle/battle.c
EntryInit, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CreateBattle, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ActionComInit, no_match_found
BATTLE_DuelPointCheck, no_match_found
BATTLE_IsCharge, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetAttacker, no_match_found
BATTLE_TurnParam, StoneAge/Source/gmsv/battle/battle.c
BATTLE_FinishSet, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchMovie, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchAfter, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchBC, StoneAge/Source/gmsv/battle/battle.c
BATTLE_AllCharaWatchWaitSet, StoneAge/Source/gmsv/battle/battle.c
BATTLE_PreWatchWaitSeq, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchPre, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DpCalc, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ClearGetExp, StoneAge/Source/gmsv/battle/battle.c
BATTLE_Bid2No, no_match_found
BATTLE_Index2No, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DancePowerUpClr, no_match_found
BATTLE_WatchUnLink, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchLink, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchNewEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchPartyNewEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_BadAction, no_match_found
BATTLE_AddDpAlive, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CountAlive, StoneAge/Source/gmsv/battle/battle.c
BATTLE_EscapeDpSend, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DanceEscapeDpSend, no_match_found
BATTLE_Destruction, no_match_found
BATTLE_GetFieldNo, no_match_found
BATTLE_ListRand, no_match_found
BATTLE_AvrLv, no_match_found
BATTLE_No2Bid, no_match_found
BATTLE_TargetCheckDead, StoneAge/Source/gmsv/battle/battle.c
BATTLE_SkirtCheckDead, no_match_found
BATTLE_TargetCheck, StoneAge/Source/gmsv/battle/battle.c
BATTLE_NextTarget, no_match_found
BATTLE_RandomTarget, no_match_found
BATTLE_No2Index, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ActSettingSend, StoneAge/Source/gmsv/battle/battle.c
BATTLE_AllCharaCWaitSet, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ParameterUpDownCheck, no_match_found
BATTLE_DancePowerDown, no_match_found
BATTLE_SkillUp, no_match_found
BATTLE_ChatProtoString, no_match_found
BATTLE_EnemyCommand, StoneAge/Source/gmsv/battle/battle.c
BATTLE_No2IndexSelect, no_match_found
BATTLE_MultiListDead, StoneAge/Source/gmsv/battle/battle.c
BATTLE_SkirtCheck, no_match_found
BATTLE_MultiList, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DexCalc, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetDuelPoint, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DeleteItem, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DeleteBattle, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ItemAttackNo, no_match_found
BATTLE_FameUp, no_match_found
BATTLE_GetExp, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetExpGold, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetProfit, StoneAge/Source/gmsv/battle/battle.c
BATTLE_NormalAttack, no_match_found
BATTLE_SkillNormalAttack, no_match_found
BATTLE_SkillAttack, no_match_found
BATTLE_GetWepon, StoneAge/Source/gmsv/battle/battle.c
BATTLE_IsThrowWepon, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CommandFlow, no_match_found
BATTLE_BadStatusAllClr, StoneAge/Source/gmsv/battle/battle.c
BATTLE_Exit, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchStop, StoneAge/Source/gmsv/callfromcli.c
BATTLE_CommandWait, StoneAge/Source/gmsv/battle/battle.c
BATTLE_TimeOutCheck, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchWait, StoneAge/Source/gmsv/battle/battle.c
BATTLE_PetDefaultExit, StoneAge/Source/gmsv/battle/battle.c
BATTLE_ExitAll, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CreateForWatcher, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_WatchTry, StoneAge/Source/gmsv/callfromcli.c
BATTLE_NewEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_PetDefaultEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_PartyNewEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CreateVsPlayer, StoneAge/Source/gmsv/callfromcli.c
BATTLE_EncountPlayerVsEnemy, no_match_found
BATTLE_RescueEntry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_RescueParentTry, StoneAge/Source/gmsv/battle/battle.c
BATTLE_initBattleArray, StoneAge/Source/gmsv/init.c
BATTLE_SKILL_UseFp, no_match_found
BATTLE_Summon, no_match_found
BATTLE_AttackHit, no_match_found
possible_crypto_0, no_match_found
BATTLE_Loop, StoneAge/Source/gmsv/main.c
BATTLE_AmnesiaSkillCheck, no_match_found
BattleSuitCommand, no_match_found
BATTLE_setPetCommand, no_match_found
BATTLE_DanceSkillCheck, no_match_found
BATTLE_StanbyBadCount, no_match_found
BattleEncountOut, StoneAge/Source/gmsv/callfromcli.c
BATTLE_MagicPetSkillCheck, no_match_found
BATTLE_MagicSkillCheck, no_match_found
BATTLE_BP_PetSkillCheck, no_match_found
BATTLE_ActionSelect, no_match_found
BattleCommandDispatch, no_match_found
BATTLE_BombSkillCheck, no_match_found
BATTLE_StaelSkillCheck, no_match_found
BATTLE_BP_SkillCheck, no_match_found
BATTLE_CommandSend, StoneAge/Source/gmsv/battle/battle.c
BATTLE_BpSendToWatch, StoneAge/Source/gmsv/battle/battle.c
BATTLE_MakeCharaString, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CharSendAll, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetDamageReact, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_GetMagicDamageReact, no_match_found
BATTLE_AttackDamageModify, no_match_found
BATTLE_findEmptyItemBoxNo, no_match_found
BATTLE_rideFpDivision, no_match_found
BATTLE_rideLpDivision, no_match_found
BATTLE_MagicDamageSubMulti, no_match_found
BATTLE_RebirthParam, no_match_found
BATTLE_Distinction, no_match_found
BATTLE_Attribute, no_match_found
BATTLE_GuardAdjust, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_BoomerangMainTargetList, no_match_found
BATTLE_BoomerangTargetList, no_match_found
BATTLE_KnifeTargetList, no_match_found
BATTLE_BowTargetList, no_match_found
BATTLE_SetAttackedList, no_match_found
BATTLE_Confusion, no_match_found
BATTLE_PositionCheck, no_match_found
BATTLE_ForceCutDamage, no_match_found
BATTLE_GuardianCheck, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_GetOption, no_match_found
BATTLE_Aves, no_match_found
BATTLE_CriticalCheck, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_InjurySet, no_match_found
BATTLE_makeCharFlag, no_match_found
BATTLE_separateRider, no_match_found
BATTLE_DanceDamageModyfy, no_match_found
BATTLE_StatusReflection, no_match_found
BATTLE_GetMagicCover, no_match_found
BATTLE_MagicActinClean, no_match_found
BATTLE_SetMagicCover, no_match_found
BATTLE_RandomShotComb, no_match_found
BATTLE_Rider, no_match_found
BATTLE_BurstTime, no_match_found
BATTLE_Rebirth, no_match_found
BATTLE_PetLeave, no_match_found
BATTLE_StatusRecover, no_match_found
BATTLE_MagicHeal, no_match_found
BATTLE_MagicAttack, no_match_found
BATTLE_AmnesiaCommandInit, no_match_found
BATTLE_SkillResistance, no_match_found
BATTLE_StatusResistance, no_match_found
BATTLE_AmnesiaPoint, no_match_found
BATTLE_SpiracleShotTargetSelect, no_match_found
BATTLE_RandomShotTargetSelect, no_match_found
BATTLE_SpriracleTargetList, no_match_found
BATTLE_SurpriseAttack, no_match_found
BATTLE_PenaltyCheck, no_match_found
BATTLE_BroadCastBase, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_BroadCastOn, StoneAge/Source/gmsv/battle/battle_event.c
strtoul_0, no_match_found
BATTLE_PanicCheck, no_match_found
BATTLE_checkStatusChange, no_match_found
BATTLE_StatusAttackCheck, StoneAge/Source/gmsv/battle/battle.c
BATTLE_DanceNormalDeadExtra, no_match_found
BATTLE_Position, no_match_found
BATTLE_Guard, StoneAge/Source/gmsv/battle/battle.c
BATTLE_talkToCli, StoneAge/Source/gmsv/battle/battle.c
BATTLE_SkillExpCheck, no_match_found
BATTLE_DanceUltimateExtra, no_match_found
BATTLE_ItemEquip, no_match_found
BATTLE_PetInOut, no_match_found
BATTLE_AllEscape, no_match_found
BATTLE_ItemUse, StoneAge/Source/gmsv/battle/battle_item.c
BATTLE_EscapeCheck, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_AttackEnergyDrain, no_match_found
BATTLE_MagicDamageSub, no_match_found
BATTLE_GoldDamageSub, no_match_found
BATTLE_ForceCutDamageSub, no_match_found
BATTLE_BloodDamageSub, no_match_found
BATTLE_DamageSub, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_FighterDamageModify, no_match_found
BATTLE_getHaveItem, no_match_found
BATTLE_getTypeMutualityItem, no_match_found
BATTLE_getTypeMutuality, no_match_found
BATTLE_DamageCalc, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_CriDamageCalc, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_AttackSeq, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_AttackGold, no_match_found
BATTLE_AttackForceCut, no_match_found
BATTLE_ItemDelCheck, StoneAge/Source/gmsv/battle/battle.c
BATTLE_GetEXPTmpCombo, no_match_found
BATTLE_GetEXPTmp, no_match_found
BATTLE_AddDuelPoint, StoneAge/Source/gmsv/battle/battle.c
BATTLE_AddProfit, StoneAge/Source/gmsv/battle/battle.c
BATTLE_FameCheck, no_match_found
BATTLE_MagicSupportPhysicsMagic, no_match_found
BATTLE_NormalDeadExtra, StoneAge/Source/gmsv/battle/battle.c
BATTLE_UltimateExtra, StoneAge/Source/gmsv/battle/battle.c
BATTLE_RiderBreak, no_match_found
BATTLE_Escape, StoneAge/Source/gmsv/battle/battle.c
BATTLE_Combo, StoneAge/Source/gmsv/battle/battle.c
BATTLE_Counter, StoneAge/Source/gmsv/battle/battle.c
BATTLE_AttackBilliard, no_match_found
BATTLE_Retribution, no_match_found
BATTLE_AttackBlood, no_match_found
BATTLE_Attack, StoneAge/Source/gmsv/battle/battle.c
BATTLE_CheckRandomDance, no_match_found
BATTLE_ShapeChange_Fin, no_match_found
BATTLE_Skill_SilenceCheck, no_match_found
BATTLE_DanceTargetSelect, no_match_found
BATTLE_SkillNeedEquipShield, no_match_found
BATTLE_Skill_SpiracleShot, no_match_found
BATTLE_AbilitySpeed, no_match_found
BATTLE_Skill_BarrierCheck, no_match_found
BATTLE_ParameterUpDownMain, no_match_found
BATTLE_DanceRevive, no_match_found
BATTLE_Assassin, no_match_found
BATTLE_DanceSacrifice, no_match_found
BATTLE_DanceBomb, no_match_found
BATTLE_DanceStatus, no_match_found
BATTLE_DanceOption, no_match_found
BATTLE_Assasin_check, no_match_found
BATTLE_Train_check, no_match_found
BATTLE_Breed_check, no_match_found
BATTLE_CheckAssassin, no_match_found
BATTLE_Anabiosis, no_match_found
BATTLE_Death, no_match_found
BATTLE_Sacrifice, no_match_found
BATTLE_EarthQuake, no_match_found
BATTLE_Bomb, no_match_found
BATTLE_SkillUpCheck, no_match_found
BATTLE_SkillPointAndForcePoint, no_match_found
BATTLE_Tornade, no_match_found
BATTLE_AcidRain, no_match_found
BATTLE_Barrier_Type, no_match_found
BATTLE_ShapeChange, no_match_found
BATTLE_ParameterUpDown, no_match_found
BATTLE_Dance, no_match_found
BATTLE_BreakAttack, no_match_found
BATTLE_ItemSteal, no_match_found
BATTLE_Treat_Type, no_match_found
BATTLE_Consentration, no_match_found
BATTLE_Reverse_Type, no_match_found
BATTLE_StatusChange, no_match_found
BATTLE_SkillPointTypeSeveralty, no_match_found
BATTLE_SkillPointResistance, no_match_found
BATTLE_SkillNeedEquip, no_match_found
BATTLE_Skill_ModParam, no_match_found
BATTLE_DamageModyfyWidth, no_match_found
BATTLE_DamageModyfy, no_match_found
BATTLE_SkillExpTurnStart, no_match_found
BATTLE_checkEquipmentEffect, no_match_found
BATTLE_getEquipmentEffectValue, no_match_found
BATTLE_EquipHurtCheck, no_match_found
BATTLE_WeaponBreakCheck, no_match_found
BATTLE_OtherEquipBreakCheck, no_match_found
ITEM_useSeal_Battle, no_match_found
BATTLE_WeaponBrokenCheck, no_match_found
BATTLE_OtherEquipBrokenCheck, no_match_found
ITEM_useMagicAttack, no_match_found
BATTLE_ItemUseDelete, StoneAge/Source/gmsv/battle/battle_item.c
ITEM_useBomb_Battle, no_match_found
BATTLE_ItemSeal_Main, no_match_found
ITEM_useRecovery_Battle, StoneAge/Source/gmsv/battle/battle_item.c
BATTLE_EquipBreakFlgCheck, no_match_found
BATTLE_EquipHurt, no_match_found
BATTLE_OtherEquipBreak, no_match_found
BATTLE_WeaponBreak, no_match_found
BATTLE_ItemDurDecrease, no_match_found
BATTLE_ItemDamage, no_match_found
BATTLE_BreakItemDelete, no_match_found
BATTLE_OtherEquipBroken, no_match_found
BATTLE_WeaponBroken, no_match_found
BATTLE_EquipBreakStringCheck, no_match_found
RSS_CHECKINDEX, no_match_found
RSS_getInt, no_match_found
RSS_setInt, no_match_found
RSS_getRSS_rssnum, no_match_found
RSS_getRssindex, no_match_found
RSS_getRssIndex, no_match_found
shishagonyu, no_match_found
BATTLE_TableRand, no_match_found
BATTLE_MultiDeath, no_match_found
BATTLE_MultiSacrifice, no_match_found
BATTLE_MultiEarthQuake, no_match_found
BATTLE_MultiBomb, no_match_found
BATTLE_MultiAttReverse, StoneAge/Source/gmsv/battle/battle_item.c
BATTLE_RecoveryConsentration, no_match_found
BATTLE_MultiRessurect, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_MultiStatusRecovery, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_MultiRecovery, StoneAge/Source/gmsv/battle/battle_event.c
BATTLE_NewMndCheck, no_match_found
BATTLE_MagicRss, no_match_found
BATTLE_NewMagicDmageCalc, no_match_found
BATTLE_MultiMagicAttack, no_match_found
RSS_setChar, no_match_found
RSS_getChar, no_match_found
RSS_initRss, no_match_found
RSS_reinitRss, no_match_found
BATTLE_Ai_LevelCheck, no_match_found
BATTLE_Ai_OddEven, no_match_found
BATTLE_Ai_SelectTurn, no_match_found
BATTLE_AI_TargetSelect, no_match_found
BATTLE_Ai_PlayerNumberCheck, no_match_found
BATTLE_Ai_NumberCheck, no_match_found
BATTLE_Ai_PlayerAndPet, no_match_found
BATTLE_Ai_Sexuality, no_match_found
BATTLE_Ai_LpRecovery, no_match_found
BATTLE_Ai_NoBeing, no_match_found
BATTLE_Ai_Being, no_match_found
BATTLE_Ai_PhysicsReflect, no_match_found
BATTLE_Ai_MagicReflect, no_match_found
BATTLE_Ai_LphalfEnemy, no_match_found
BATTLE_Ai_Lphalf, no_match_found
BATTLE_Ai_Status, no_match_found
BATTLE_Ai_MinLp, no_match_found
BATTLE_Ai_MaxLp, no_match_found
BATTLE_Ai_EnemyRand, no_match_found
BATTLE_Ai_PartRand, no_match_found
BATTLE_Ai_NowTime, no_match_found
BATTLE_Ai_Wepon, no_match_found
BATTLE_AttributeMsg, no_match_found
BATTLE_EnemyMsg, no_match_found
BATTLE_EnemyAttribute, no_match_found
BATTLE_ai_all, StoneAge/Source/gmsv/battle/battle.c
BATTLE_Provocation, no_match_found
BATTLE_PickPocket, no_match_found
BATTLE_DetectEnemy, no_match_found
BATTLE_UltimateAttack, no_match_found
BATTLE_UrgentMedic, no_match_found
BATTLE_UrgentAllowance, no_match_found
BATTLE_checkGuildMonsterBattle, no_match_found
ITEM_useGuildMonsterCall_Battle, no_match_found
BATTLE_disappearGuildMonster, no_match_found
BATTLE_setGuildMonsterRate, no_match_found
BATTLE_appearGuildMonster, no_match_found
BATTLE_setGuildMonsterParam, no_match_found
BATTLE_setGuildMonsterCommand, no_match_found
ITEM_CHECKARRAYINDEX, StoneAge/Source/gmsv/item/item.c
ITEM_getWorkInt, StoneAge/Source/gmsv/battle/battle.c
ITEM_setWorkInt, StoneAge/Source/gmsv/object.c
ITEM_getITEM_itemnum, StoneAge/Source/gmsv/net.c
ITEM_getItemMaxIdNum, StoneAge/Source/gmsv/item/item.c
ITEM_CHECKITEMTABLE, StoneAge/Source/gmsv/item/item.c
ITEM_initUnKnowunImageTbl, no_match_found
ITEM_CalcRecipiFp, no_match_found
ITEM_getTypeInBox, no_match_found
ITEM_getItemBoxRankNum, no_match_found
ITEM_checkRewardInType, no_match_found
ITEM_isstring1or0, StoneAge/Source/gmsv/item/item.c
ITEM_getRandomValue, StoneAge/Source/gmsv/item/item.c
ITEM_checkString, StoneAge/Source/gmsv/item/item.c
_ITEM_CHECKINDEX, StoneAge/Source/gmsv/item/item.c
ITEM_getRandomJewel, no_match_found
ITEM_getRandomItemId, no_match_found
ITEM_getRewardInType, no_match_found
ITEM_getRandPilotItem, no_match_found
ITEM_makeRankTbl, no_match_found
ITEM_makeItem, StoneAge/Source/gmsv/battle/battle.c
ITEM_makeItemFalseStringWithNum, StoneAge/Source/gmsv/char/char_item.c
ITEM_makeItemFalseString, StoneAge/Source/gmsv/char/char.c
ITEM_makeStringFromItemData, StoneAge/Source/gmsv/item/item.c
ITEM_getDefaultItemSetting, StoneAge/Source/gmsv/item/item.c
ITEM_checksetdata, StoneAge/Source/gmsv/item/item.c
ITEM_constructFunctable2, no_match_found
ITEM_readItemConfFile, StoneAge/Source/gmsv/init.c
ITEM_makeExistItemsFromStringToArg, StoneAge/Source/gmsv/object.c
ITEM_doInitEvent, no_match_found
ITEM_endExistItemsArray, StoneAge/Source/gmsv/item/item.c
ITEM_getLinkItem, no_match_found
_ITEM_removeItem, no_match_found
_ITEM_appendTailItem, no_match_found
ITEM_makeItemAndRegist, StoneAge/Source/gmsv/battle/battle.c
ITEM_initExistItemsArray, StoneAge/Source/gmsv/init.c
ITEM_getListSize, no_match_found
ITEM_printLinkBufferNumber, no_match_found
ITEM_initItemuseFlg, no_match_found
ITEM_getItemPointerNoCheck, no_match_found
ITEM_copyItem, no_match_found
ITEM_getDefaultItemSettingFromItemIndex, no_match_found
ITEM_makeStringFromItemIndex, StoneAge/Source/gmsv/object.c
ITEM_constructFunctable, StoneAge/Source/gmsv/item/item.c
ITEM_setCharForce, no_match_found
_ITEM_initExistItemsOne, StoneAge/Source/gmsv/item/item.c
ITEM_getdropatlogoutFromITEMtabl, StoneAge/Source/gmsv/item/item.c
