_init_proc	.init	08049DD4	00000017	0000000C		R	.	.	.	.	.	B	.	.
_CHAR_setTechId	.text	08073B10	0000024B	0000002C	00000018	R	.	.	.	.	.	B	T	.
_CHAR_getSkillElement	.text	08073D60	000001F6	0000003C	0000000C	R	.	.	.	.	.	B	T	.
_CHAR_setSkillId	.text	08073F60	00000209	0000002C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_setSkillNewSeqNo	.text	08074170	00000361	0000003C	00000010	R	.	.	.	.	.	B	T	.
_CHAR_setSkillSeqNo	.text	080744E0	00000299	0000002C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_setSkillConsumptionRate	.text	08074780	000001C4	0000003C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_setSkillSuccessProb	.text	08074950	000001C4	0000003C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_setSkillExp	.text	08074B20	000001CC	0000003C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_setSkillLevel	.text	08074CF0	000001CC	0000003C	00000014	R	.	.	.	.	.	B	T	.
CHAR_callLoop	.text	08074EC0	000000AB	0000001C		R	.	.	.	.	.	B	T	.
CHAR_getDXDY	.text	08074F70	0000004E	0000000C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_getUseName	.text	08074FC0	00000025	00000004	00000004	R	.	.	.	.	.	B	T	.
GetRecoveryRate	.text	08074FF0	0000003D	00000008	00000004	R	.	.	.	.	.	B	T	.
CHAR_AddDungeonClrFlg	.text	08075030	00000029	00000004	00000008	R	.	.	.	.	.	B	T	.
CHAR_CheckDungeonClrFlg	.text	08075060	0000002E	00000004	00000008	R	.	.	.	.	.	B	T	.
CHAR_checkFame	.text	08075090	00000007	00000004		R	.	.	.	.	.	B	T	.
CHAR_setPenalty	.text	080750A0	00000120	00000038	00000008	R	.	.	.	.	.	B	T	.
CHAR_FameLimitCheck	.text	080751C0	00000016	00000004	00000004	R	.	.	.	.	.	B	T	.
CHAR_FameAutoDownCheck	.text	080751E0	000000B1	00000010	00000004	R	.	.	.	.	.	B	T	.
STALL_CheckCoordinate_Register	.text	080752A0	000000BB	00000014	00000010	R	.	.	.	.	.	B	T	.
STALL_Cleanup	.text	08075360	00000047	00000004	00000008	R	.	.	.	.	.	B	T	.
CHAR_GetStallItemData	.text	080753B0	00000199	0000042C	00000014	R	.	.	.	.	.	B	T	.
CHAR_getCliVersion	.text	08075550	00000030	0000000C	00000004	R	.	.	.	.	.	B	T	.
CHAR_getCharGender	.text	08075580	0000009B	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_checkEffectTime	.text	08075620	000003AE	0000019C		R	.	.	.	.	.	B	T	.
CHAR_checkEffectLoop	.text	080759D0	000004B8	0000A03C		R	.	.	.	.	.	B	T	.
CHAR_checkEffect	.text	08075E90	000000F9	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_initEffectSetting	.text	08075F90	00000777	0000023C	00000004	R	.	.	.	.	.	B	T	.
CHAR_FamgGetTimeCheck	.text	08076710	000000BE	0000000C	00000004	R	.	.	.	.	.	B	T	.
CHAR_unsetPlayerPet	.text	080767D0	00000054	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_setPlayerPet	.text	08076830	000000C5	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_FeverTimeCalc	.text	08076900	00000136	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_FeverTimePause	.text	08076A40	00000094	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_FeverTimeStop	.text	08076AE0	000000B7	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_IsFeverTime	.text	08076BA0	00000065	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_FeverTimeConsume	.text	08076C10	000000C2	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_FeverHaveTime	.text	08076CE0	00000064	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_FeverTimeStart	.text	08076D50	000000AD	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_DuelRankingUpdate	.text	08076E00	00000009	00000004		R	.	.	.	.	.	B	T	.
CHAR_complianceSkillMaxLevel	.text	08076E10	00000221	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendBGM_AfterWarp	.text	08077040	00000052	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CheckTrainSkill	.text	080770A0	00000183	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_initcharWorkInt	.text	08077230	00000686	0000008C		R	.	.	.	.	.	B	T	.
_CHAR_complianceParameterForGuildPetList	.text	080778C0	00000054	0000000C	00000004	R	.	.	.	.	.	B	T	.
CHAR_deleteTitle	.text	08077920	000000BD	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_selectTitle	.text	080779E0	0000012A	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_getUsingSkillSlotNum	.text	08077B10	00000071	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_inputUserPetName	.text	08077B90	0000022B	0000005C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_inputOwnTitle	.text	08077DC0	000000A0	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_JoinRingWatch_WindowResult	.text	08077E60	000000D9	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_JoinBattleWatch_WindowResult	.text	08077F40	000000F5	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_JoinDuel_WindowResult	.text	08078040	000001A4	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_JoinParty_WindowResult	.text	080781F0	00000193	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_SelectCard_WindowResult	.text	08078390	000000B9	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_processWindow	.text	08078450	0000030E	0000001C	00000014	R	.	.	.	.	.	B	T	.
CHAR_Position	.text	08078760	00000048	0000000C	00000008	R	.	.	.	.	.	B	T	.
CHAR_PetAddVariableAi	.text	080787B0	00000107	0000004C	00000008	R	.	.	.	.	.	B	T	.
CHAR_PetLevelupsend	.text	080788C0	00000080	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_Levelupsend	.text	08078940	00000038	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_getSameCoordinateObjects	.text	08078980	00000087	0000002C	00000018	R	.	.	.	.	.	B	T	.
CHAR_getObjectByPosition	.text	08078A10	000000DB	0000004C	00000010	R	.	.	.	.	.	B	T	.
CHAR_CharaDeleteHavePet	.text	08078AF0	0000005A	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_updateGraphic	.text	08078B50	000001A0	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_complianceTech	.text	08078CF0	00000626	000001FC	00000008	R	.	.	.	.	.	B	T	.
_CHAR_complianceParameter	.text	08079320	0000059C	00002C2C	00000008	R	.	.	.	.	.	B	T	.
CHAR_PetParamUp	.text	080798C0	000002A1	0000018C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_ParamUp	.text	08079B70	00000195	0000005C	00000008	R	.	.	.	.	.	B	T	.
CHAR_ObjectDelete	.text	08079D10	00000068	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CharaDelete	.text	08079D80	000000A2	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_makeObjectCString	.text	08079E30	00000A27	000007BC	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendWatchEvent	.text	0807A860	00000845	0000017C	00000014	R	.	.	.	.	.	B	T	.
CHAR_sendBattleDuel	.text	0807B0B0	00000050	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendBattleWatch	.text	0807B100	00000050	0000002C	00000008	R	.	.	.	.	.	B	T	.
_CHAR_warpToSpecificPoint	.text	0807B150	000005A5	0000004C	0000001C	R	.	.	.	.	.	B	T	.
CHAR_PartyWarp	.text	0807B700	000000EF	0000004C	00000014	R	.	.	.	.	.	B	T	.
CHAR_setMyPosition_main	.text	0807B7F0	0000038F	00022A7C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_setMyPosition	.text	0807BB80	00000030	0000001C	00000010	R	.	.	.	.	.	B	T	.
CHAR_appendNameAndTitle	.text	0807BBB0	000000F5	0000002C	00000010	R	.	.	.	.	.	B	T	.
NPC_CharLoop	.text	0807BCB0	000000C3	0000001C		R	.	.	.	.	.	B	T	.
CHAR_FCcheck	.text	0807BD80	0000014F	0000012C	00000004	R	.	.	.	.	.	B	T	.
CHAR_Loop	.text	0807BED0	00000121	0000002C		R	.	.	.	.	.	B	T	.
CHAR_getDY	.text	0807C000	00000030	00000004	00000004	R	.	.	.	.	.	B	T	.
CHAR_getDX	.text	0807C030	00000030	00000004	00000004	R	.	.	.	.	.	B	T	.
CHAR_getCoordinationDir	.text	0807C060	00000050	00000008	00000018	R	.	.	.	.	.	B	T	.
CHAR_getMessageBody	.text	0807C0B0	00000040	00000008	00000010	R	.	.	.	.	.	B	T	.
BADMSG	.text	0807C0F0	000000FD	0000203C	00000008	R	.	.	.	.	.	B	T	.
SYSTEMMSG	.text	0807C1F0	0000008E	0000081C	00000008	R	.	.	.	.	.	B	T	.
SYETEMMSG_ToArround	.text	0807C280	0000016F	0000003C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_talkToCli	.text	0807C3F0	00000151	0000002C	00000014	R	.	.	.	.	.	B	T	.
_CHAR_talkToCliFromMsgId	.text	0807C550	0000005F	0000001C	00000014	R	.	.	.	.	.	B	T	.
CHAR_initChatMagic	.text	0807C5B0	00000035	0000000C		R	.	.	.	.	.	B	T	.
CHAR_useChatMagic	.text	0807C5F0	000001E0	0000013C		R	.	.	.	.	.	B	T	.
CHAR_Talk_check	.text	0807C7D0	00000127	0000002C		R	.	.	.	.	.	B	T	.
CHAR_Talk	.text	0807C900	00000A15	000002DC	00000018	R	.	.	.	.	.	B	T	.
CHAR_getPartyArray	.text	0807D320	000000A8	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_getPartyCharPointer	.text	0807D3D0	000000A4	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_findPartyMember	.text	0807D480	00000044	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_getEmptyPartyArray	.text	0807D4D0	00000052	0000000C	00000004	R	.	.	.	.	.	B	T	.
SYSTEMMSG_ToParty	.text	0807D530	0000006C	0000003C	00000008	R	.	.	.	.	.	B	T	.
CHAR_talkToParty2	.text	0807D5A0	00000088	0000004C	00000014	R	.	.	.	.	.	B	T	.
CHAR_talkToParty	.text	0807D630	00000088	0000004C	00000010	R	.	.	.	.	.	B	T	.
CHAR_sendLeader	.text	0807D6C0	00000038	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_DischargePartySub	.text	0807D700	0000048F	0000008C		R	.	.	.	.	.	B	T	.
CHAR_DischargePartyNoMsg	.text	0807DB90	0000000E	00000004	00000004	R	.	.	.	.	.	B	T	.
CHAR_DischargeParty	.text	0807DBA0	00000076	0000003C	00000004	R	.	.	.	.	.	B	T	.
CHAR_JoinParty_Main	.text	0807DC20	000002D6	0000006C	00000008	R	.	.	.	.	.	B	T	.
CHAR_JoinParty	.text	0807DF00	000005F4	00000D5C	00000004	R	.	.	.	.	.	B	T	.
CHAR_getNewImagenumberFromEquip	.text	0807E500	00000064	00000010	0000000C	R	.	.	.	.	.	B	T	.
GetEnemyExp	.text	0807E570	00000019	00000004	00000004	R	.	.	.	.	.	B	T	.
getOldFaceGraphic	.text	0807E590	000000C7	00000018	00000004	R	.	.	.	.	.	B	T	.
getReFaceGraphic	.text	0807E660	000000B2	00000010	00000004	R	.	.	.	.	.	B	T	.
CG2_GraphicChange	.text	0807E720	00000061	00000004	00000004	R	.	.	.	.	.	B	T	.
CHAR_PetLevelUp	.text	0807E790	000001FC	000000BC	00000004	R	.	.	.	.	.	B	T	.
CHAR_GetLevelExp	.text	0807E990	0000002E	0000000C	00000004	R	.	.	.	.	.	B	T	.
CHAR_LevelUpCheck	.text	0807E9C0	0000008E	0000002C	00000004	R	.	.	.	.	.	B	T	.
CHAR_getLoginPoint	.text	0807EA50	000001A1	0000002C	00000014	R	.	.	.	.	.	B	T	.
CHAR_initSeekGraphicNumberFromString	.text	0807EC00	00000035	0000000C		R	.	.	.	.	.	B	T	.
CHAR_seekGraphicNumberFromString	.text	0807EC40	00000098	0000003C	00000004	R	.	.	.	.	.	B	T	.
CHAR_releaseClone	.text	0807ECE0	000002C1	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_makeClone	.text	0807EFB0	00000CFB	000000BC	00000004	R	.	.	.	.	.	B	T	.
CHAR_getDefaultChar	.text	0807FCB0	000003B2	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_charSaveFromConnectAndChar	.text	08080070	0000005C	0000007C	00000008	R	.	.	.	.	.	B	T	.
CHAR_setLuck	.text	080800D0	000000F6	0000006C		R	.	.	.	.	.	B	T	.
CHAR_dropItemAtLogout	.text	080801D0	00000083	0000002C		R	.	.	.	.	.	B	T	.
CHAR_login	.text	08080260	000013F3	0000011C	00000008	R	.	.	.	.	.	B	T	.
_CHAR_logout	.text	08081660	00000520	0000009C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_charSave	.text	08081B80	000000E8	0000007C	00000004	R	.	.	.	.	.	B	T	.
CHAR_SimpleLogout	.text	08081C70	00000471	0000003C	00000004	R	.	.	.	.	.	B	T	.
CHAR_createNewChar	.text	080820F0	00000598	000000BC	0000003C	R	.	.	.	.	.	B	T	.
CHAR_sendAlbumPetNameData	.text	08082690	000000A5	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendAlbumInfoData	.text	08082740	0000028E	000000BC	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendAlbumFlgData	.text	080829D0	000000A5	0000084C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendPMEToArroundCharacterFLXY	.text	08082A80	000001F3	0000084C	00000020	R	.	.	.	.	.	B	T	.
CHAR_sendPMEToArroundCharacter	.text	08082C80	000000FD	0000008C	00000010	R	.	.	.	.	.	B	T	.
CHAR_sendItemData	.text	08082D80	000001A4	0000222C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendItemDataOne	.text	08082F30	00000028	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_makeDBKey_registnumber	.text	08082F60	000000C4	0000062C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_send_GoldDBUpdate	.text	08083030	00000132	0000072C	00000004	R	.	.	.	.	.	B	T	.
CHAR_send_DpDBUpdate	.text	08083170	000000EB	0000072C	00000004	R	.	.	.	.	.	B	T	.
CHAR_send_guildMemberUpdate_AddressBook	.text	08083260	00000151	0000033C	00000008	R	.	.	.	.	.	B	T	.
CHAR_send_DpDBUpdate_AddressBook	.text	080833C0	0000015C	0000033C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendCharAndPetList	.text	08083520	00000451	00000ACC	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendFrontCharList	.text	08083980	00000595	00000A6C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendItemRecipe	.text	08083F20	000004F9	0000E98C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendPetTechData	.text	08084420	000002B9	0000146C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendJobsData	.text	080846E0	00000088	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_send_CN_String	.text	08084770	0000031D	0000067C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendTechData	.text	08084A90	00000585	000015EC	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendSkillData	.text	08085020	000003E2	0000206C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendSkillDataAll	.text	08085410	00000034	0000005C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendSkillDataOne	.text	08085450	00000028	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_make_KP2_String	.text	08085480	00000586	0000207C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_send_KP2_String	.text	08085A10	00000095	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_make_KP_String	.text	08085AB0	00000757	0000206C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_send_KP_String	.text	08086210	00000095	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_send_CP2_String	.text	080862B0	0000050F	0000206C	00000008	R	.	.	.	.	.	B	T	.
CHAR_send_CP_String	.text	080867C0	000008BD	0000206C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendBattleEffect	.text	08087080	00000050	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendActionSkill	.text	080870D0	00000049	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendTitle	.text	08087120	000000FA	0000092C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendAction	.text	08087220	000001BE	0000003C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendCoordinate	.text	080873E0	000001A9	0000015C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendPlaySE	.text	08087590	000001BB	0000003C	00000008	R	.	.	.	.	.	B	T	.
makePartyParamString	.text	08087750	0000009F	000004BC		R	.	.	.	.	.	B	T	.
CHAR_sendPartyParamAll	.text	080877F0	000000E5	0000141C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendPartyParam	.text	080878E0	0000009F	0000041C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendPetInjuryEffect	.text	08087980	0000009B	0000003C	00000008	R	.	.	.	.	.	B	T	.
CHAR_sendInjuryEffect	.text	08087A20	000000D5	0000003C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendFeverStatus	.text	08087B00	00000063	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendLoginIndex	.text	08087B70	00000053	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendCToArroundCharacter	.text	08087BD0	000001E0	0000024C	00000004	R	.	.	.	.	.	B	T	.
CHAR_sendCDArroundChar_Main	.text	08087DB0	000001B4	0000008C	00000014	R	.	.	.	.	.	B	T	.
_IO_getline	.text	08087F70	00000037	0000001C	00000014	R	.	.	M	.	.	B	T	.
CHAR_sendCharacterIconCA	.text	08087FB0	00000819	0000013C	00000010	R	.	.	.	.	.	B	T	.
CHAR_sendArroundCharaData	.text	080887D0	0000042C	0000E25C	00000004	R	.	.	.	.	.	B	T	.
CHAR_ctodirmode	.text	08088C00	0000003C	0000000C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendMapAtWalk	.text	08088C40	00000248	0000008C	00000010	R	.	.	.	.	.	B	T	.
CHAR_sendCharaAtWalk	.text	08088E90	00000783	0001847C	00000010	R	.	.	.	.	.	B	T	.
CHAR_WarpObjectCheck	.text	08089620	0000015A	0000005C	00000004	R	.	.	.	.	.	B	T	.
CHAR_walk	.text	08089780	00001516	0000057C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_walkcall	.text	0808ACA0	00000345	000000DC	00000004	R	.	.	.	.	.	B	T	.
CHAR_walk_start	.text	0808AFF0	000001B2	0000008C	00000014	R	.	.	.	.	.	B	T	.
CHAR_walk_init	.text	0808B1B0	00000114	0000003C	00000014	R	.	.	.	.	.	B	T	.
CHAR_allprewalk	.text	0808B2D0	0000000A	00000004		R	.	.	.	.	.	B	.	.
CHAR_allpostwalk	.text	0808B2E0	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_loopFunc	.text	0808B2F0	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_die	.text	0808B300	00000007	00000004		R	.	.	.	.	.	B	.	.
CHAR_playerTalkedfunc	.text	0808B310	0000014E	0000032C	00000014	R	.	.	.	.	.	B	T	.
CHAR_playerWatchfunc	.text	0808B460	00000128	0000001C	00000024	R	.	.	.	.	.	B	T	.
CHAR_makeCAOPT7String	.text	0808B590	0000012A	0000009C	0000002C	R	.	.	.	.	.	B	T	.
CHAR_makeCAOPT3String	.text	0808B6C0	0000010E	0000008C	0000001C	R	.	.	.	.	.	B	T	.
CHAR_makeCAOPT1String	.text	0808B7D0	00000100	0000007C	00000014	R	.	.	.	.	.	B	T	.
CHAR_makeCADefaultString	.text	0808B8D0	000000F9	0000007C	00000010	R	.	.	.	.	.	B	T	.
CHAR_npcdying	.text	0808B9D0	000000BA	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_getEmptyItemBoxNum	.text	0808BA90	00000045	0000000C	00000004	R	.	.	.	.	.	B	T	.
CHAR_findEmptyItemBox	.text	0808BAE0	00000045	00000004	00000004	R	.	.	.	.	.	B	T	.
ITEM_CountInFloor	.text	0808BB30	000000CE	0000003C	00000008	R	.	.	.	.	.	B	T	.
CHAR_HaveItemTypeCheck	.text	0808BC00	000000AE	0000002C	00000010	R	.	.	.	.	.	B	T	.
CHAR_HaveItemIdCheck	.text	0808BCB0	000000AE	0000002C	00000010	R	.	.	.	.	.	B	T	.
CHAR_HaveItemInitFuncCheck	.text	0808BD60	000000AE	0000002C	00000010	R	.	.	.	.	.	B	T	.
CHAR_sendItemDetachEvent	.text	0808BE10	00000037	0000001C		R	.	.	.	.	.	B	T	.
CHAR_checkAbleEffectBetweenHave	.text	0808BE50	000000AD	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_delItemFromHaveindex	.text	0808BF00	000000B4	0000002C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_DropMoney	.text	0808BFC0	00000465	000000DC	00000008	R	.	.	.	.	.	B	T	.
CHAR_DropItemAbsolute	.text	0808C430	000000B5	0000006C	00000018	R	.	.	.	.	.	B	T	.
CHAR_ShovelDropItem	.text	0808C4F0	00000569	0000005C	00000008	R	.	.	.	.	.	B	T	.
CHAR_DropItem	.text	0808CA60	00000809	000000AC	00000008	R	.	.	.	.	.	B	T	.
_CHAR_addItemSpecificItemIndex	.text	0808D270	000000AF	0000002C	00000010	R	.	.	.	.	.	B	T	.
CHAR_setStackItem	.text	0808D320	0000023D	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_addNewItem	.text	0808D560	0000007F	0000002C	00000008	R	.	.	.	.	.	B	T	.
CHAR_checkCanEquipItem	.text	0808D5E0	00000215	0000005C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_sendSIToCli	.text	0808D800	00000037	0000001C	0000000C	R	.	.	.	.	.	B	T	.
CHAR_ShovelPickUpItem	.text	0808D840	0000041F	0000024C	00000004	R	.	.	.	.	.	B	T	.
CHAR_PickUpItem	.text	0808DC60	00000DAD	0000018C	00000008	R	.	.	.	.	.	B	T	.
CHAR_moveItemFromItemBoxToEquip	.text	0808EA10	00000730	0000004C		R	.	.	.	.	.	B	T	.
CHAR_moveEquipItem	.text	0808F140	00000A78	0000005C	00000010	R	.	.	.	.	.	B	T	.
CHAR_ItemUse	.text	0808FBC0	000003D0	0000003C	00000010	R	.	.	.	.	.	B	T	.
get_arg	.text	0808FF90	00000082	0000000C		R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_warmitem	.text	08090020	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_sweepitem	.text	08090030	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_chardump	.text	08090040	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_nullPointer	.text	08090050	00000005	00000004		R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_SortItemBox	.text	08090060	00000040	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_showVersion	.text	080900A0	00000033	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_delDungeonflg	.text	080900E0	00000051	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_stopdungeon	.text	08090140	0000003D	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_ResetSuit	.text	08090180	0000006F	0000001C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_DoLuaFile	.text	080901F0	000000B0	0000001C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_TrialFlg	.text	080902A0	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_skillslot	.text	08090300	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_SetisUse	.text	08090360	000000FB	000001AC	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_roomID	.text	08090460	00000072	0000012C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_monsterName	.text	080904E0	00000072	0000012C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_isUse	.text	08090560	00000072	0000012C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_OriginalImageNumber	.text	080905E0	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_MaxPoolPetHaveLimit	.text	08090640	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_recipe	.text	080906A0	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_DataPlaceNumber	.text	08090700	0000005A	0000004C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_change_rent	.text	08090760	00000071	0000022C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_dungeonlist	.text	080907E0	00000131	0000013C	00000004	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_AddStampCount	.text	08090920	000001E7	0000009C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_setskillslot	.text	08090B10	00000085	0000004C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_SetMonsterName	.text	08090BA0	00000111	000001EC	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_entry_album	.text	08090CC0	00000236	000001BC	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_resetGlobalFlag_T	.text	08090F00	00000086	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_setGlobalFlag_T	.text	08090F90	00000086	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_checkGlobalFlag_T	.text	08091020	0000009C	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_activeGuildMonster	.text	080910C0	00000041	00000004	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_changeFace	.text	08091110	000000A7	0000012C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_resetGlobalFlag	.text	080911C0	00000086	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_setGlobalFlag	.text	08091250	00000086	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_checkGlobalFlag	.text	080912E0	0000009C	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_morph	.text	08091380	0000009E	0000000C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_checknowflg	.text	08091420	00000059	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_checkendflg	.text	08091480	0000009C	0000011C	00000008	R	.	.	.	.	.	B	T	.
CHAR_CHAT_DEBUG_setnowflg	.text	08091520	000000C1	0000011C	00000008	R	.	.	.	.	.	B	T	.
